"id","name","lastName","age","dateOfRegistration","role","town","wallet"
"16ff1a76-5fe6-474a-b9d1-0f9c3cbf7739","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"e82e88a3-f7de-45ba-aec0-12eefcbac7ba","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"955f8eba-a028-4953-bd2d-d75cc1c3ba6e","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"030aa5d6-4bc6-4ce5-8990-711daf01e3e5","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"86651849-7667-4f88-8c67-35763d773bcc","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"ee1eb51b-379c-40af-8177-eb72f31b4adf","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"fdffc8be-fad8-4ed0-b9e6-80e91d367678","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"057652a7-c42c-4263-8dc7-860c23a59119","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"a41f3041-6914-4a46-94a4-9eef38804538","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"57b48f43-aeb2-410b-937b-a0f3bef56826","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"9d584765-1a94-4bf7-90e6-805d7c0cff65","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"e904fcad-41ba-4029-ad9d-06f3a0582dae","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"ed642c24-37ef-4567-bb61-d4279250b5b0","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"b69c45eb-fafd-46e2-8cf9-d2fc8bf357dc","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"cb463ce3-905e-43cb-af07-8fdb223ba4b0","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"1a2fdad1-5e75-4e17-a10c-2703312f35d6","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"3c03608f-8d05-4549-8120-0538396e603a","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"d1acde93-2fca-4e5e-a85b-5ec5debc8775","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"182869ef-27a3-4034-ac53-d26ec32b8e8c","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"774178e2-4b38-47ca-a170-416e7995982b","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"c163f6eb-a7b6-453a-9a98-8dba85e808cc","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"ea7c8eb2-5137-487e-9336-e78e480f7cd4","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"31a4a34a-e670-48b7-ba82-e3dca4379c10","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"c21c9479-96df-4c15-87b7-2f9d3f2a91c9","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"68d585a0-2c0f-4c56-8bb9-1965e816d9be","Alexey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"76c5dee8-7b55-42a7-a741-bb95cc1dc39c","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"70f7cfa5-32f6-4cd7-b55f-e191106a745d","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
"93da1fb8-5008-44c7-8592-ea7b371f3724","Sergey","Esenin","Tue Oct 12 00:00:00 MSD 1999","Sun Mar 21 00:00:00 MSK 2021","CUSTOMER","Moscow","0.0"
